"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP","MEN","YR","A","2006",78.7,
"AUS","LIFEEXP","MEN","YR","A","2007",79,
"AUS","LIFEEXP","MEN","YR","A","2008",79.2,
"AUS","LIFEEXP","MEN","YR","A","2009",79.3,
"AUS","LIFEEXP","MEN","YR","A","2010",79.5,
"AUS","LIFEEXP","MEN","YR","A","2011",79.7,
"AUS","LIFEEXP","MEN","YR","A","2012",79.9,
"AUS","LIFEEXP","MEN","YR","A","2013",80.1,
"AUS","LIFEEXP","MEN","YR","A","2014",80.3,
"AUS","LIFEEXP","MEN","YR","A","2015",80.4,
"AUS","LIFEEXP","MEN","YR","A","2016",80.4,
"AUS","LIFEEXP","MEN","YR","A","2017",80.5,
"AUT","LIFEEXP","MEN","YR","A","2006",77.1,
"AUT","LIFEEXP","MEN","YR","A","2007",77.4,
"AUT","LIFEEXP","MEN","YR","A","2008",77.7,
"AUT","LIFEEXP","MEN","YR","A","2009",77.6,
"AUT","LIFEEXP","MEN","YR","A","2010",77.8,
"AUT","LIFEEXP","MEN","YR","A","2011",78.3,
"AUT","LIFEEXP","MEN","YR","A","2012",78.4,
"AUT","LIFEEXP","MEN","YR","A","2013",78.6,
"AUT","LIFEEXP","MEN","YR","A","2014",79.1,
"AUT","LIFEEXP","MEN","YR","A","2015",78.8,
"AUT","LIFEEXP","MEN","YR","A","2016",79.3,
"AUT","LIFEEXP","MEN","YR","A","2017",79.4,
"BEL","LIFEEXP","MEN","YR","A","2006",76.6,
"BEL","LIFEEXP","MEN","YR","A","2007",77.1,
"BEL","LIFEEXP","MEN","YR","A","2008",76.9,
"BEL","LIFEEXP","MEN","YR","A","2009",77.4,
"BEL","LIFEEXP","MEN","YR","A","2010",77.5,
"BEL","LIFEEXP","MEN","YR","A","2011",78,"B"
"BEL","LIFEEXP","MEN","YR","A","2012",77.8,
