"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SUICIDE","TOT","100000PER","A","2006",10.5,
"AUS","SUICIDE","TOT","100000PER","A","2007",10.6,
"AUS","SUICIDE","TOT","100000PER","A","2008",10.9,
"AUS","SUICIDE","TOT","100000PER","A","2009",10.7,
"AUS","SUICIDE","TOT","100000PER","A","2010",10.9,
"AUS","SUICIDE","TOT","100000PER","A","2011",10.7,
"AUS","SUICIDE","TOT","100000PER","A","2012",11.4,
"AUS","SUICIDE","TOT","100000PER","A","2013",11.3,
"AUS","SUICIDE","TOT","100000PER","A","2014",12.5,
"AUS","SUICIDE","TOT","100000PER","A","2015",12.9,
"AUS","SUICIDE","TOT","100000PER","A","2016",11.9,
"AUT","SUICIDE","TOT","100000PER","A","2006",14.7,
"AUT","SUICIDE","TOT","100000PER","A","2007",14.6,
"AUT","SUICIDE","TOT","100000PER","A","2008",14.1,
"AUT","SUICIDE","TOT","100000PER","A","2009",14.1,
"AUT","SUICIDE","TOT","100000PER","A","2010",13.9,
"AUT","SUICIDE","TOT","100000PER","A","2011",14.1,
"AUT","SUICIDE","TOT","100000PER","A","2012",13.7,
"AUT","SUICIDE","TOT","100000PER","A","2013",13.6,
"AUT","SUICIDE","TOT","100000PER","A","2014",13.9,
"AUT","SUICIDE","TOT","100000PER","A","2015",12.9,
"AUT","SUICIDE","TOT","100000PER","A","2016",12.2,
"AUT","SUICIDE","TOT","100000PER","A","2017",12.4,
"BEL","SUICIDE","TOT","100000PER","A","2006",17.7,
"BEL","SUICIDE","TOT","100000PER","A","2007",16.7,
"BEL","SUICIDE","TOT","100000PER","A","2008",17.9,
"BEL","SUICIDE","TOT","100000PER","A","2009",17.9,
"BEL","SUICIDE","TOT","100000PER","A","2010",17.8,
"BEL","SUICIDE","TOT","100000PER","A","2011",18.1,
"BEL","SUICIDE","TOT","100000PER","A","2012",17.4,
"BEL","SUICIDE","TOT","100000PER","A","2013",16.2,
"BEL","SUICIDE","TOT","100000PER","A","2014",16.1,
"BEL","SUICIDE","TOT","100000PER","A","2015",15.8,
"BEL","SUICIDE","TOT","100000PER","A","2016",15.9,
